iter	Passed	Remaining
0	143	143515
1	146	72906
2	148	49190
3	150	37389
4	152	30297
5	154	25528
6	156	22138
7	158	19623
8	159	17588
9	161	15940
10	162	14615
11	163	13489
12	165	12533
13	166	11708
14	167	10990
15	168	10366
16	169	9807
17	171	9332
18	172	8894
19	173	8495
20	174	8129
21	175	7792
22	176	7484
23	177	7207
24	178	6953
25	179	6709
26	180	6492
27	180	6282
28	181	6090
29	182	5908
30	183	5736
31	184	5577
32	185	5427
33	186	5291
34	187	5156
35	187	5026
36	188	4902
37	189	4784
38	189	4672
39	190	4566
40	190	4466
41	191	4370
42	192	4278
43	192	4190
44	193	4109
45	194	4032
46	195	3959
47	196	3889
48	196	3819
49	197	3754
50	198	3690
51	199	3627
52	199	3570
53	200	3518
54	201	3466
55	202	3414
56	203	3362
57	204	3313
58	204	3266
59	205	3218
60	206	3173
61	206	3129
62	207	3087
63	208	3048
64	209	3009
65	209	2970
66	210	2932
67	210	2891
68	211	2856
69	212	2824
70	213	2792
71	214	2761
72	215	2732
73	216	2704
74	216	2675
75	217	2645
76	218	2617
77	218	2588
78	219	2561
79	220	2534
80	221	2508
81	221	2484
82	222	2461
83	223	2437
84	224	2411
85	224	2389
86	225	2363
87	226	2342
88	226	2321
89	227	2300
90	228	2280
91	229	2262
92	230	2244
93	230	2225
94	231	2206
95	232	2187
96	232	2168
97	233	2150
98	234	2132
99	235	2115
100	235	2098
101	236	2080
102	237	2064
103	237	2048
104	238	2032
105	239	2017
106	239	2001
107	240	1987
108	241	1973
109	242	1958
110	242	1946
111	243	1933
112	245	1923
113	245	1910
114	246	1897
115	247	1884
116	247	1871
117	248	1859
118	249	1845
119	250	1834
120	251	1823
121	251	1811
122	252	1798
123	252	1787
124	253	1776
125	254	1764
126	255	1754
127	255	1741
128	256	1730
129	257	1720
130	257	1710
131	258	1700
132	259	1691
133	260	1682
134	260	1672
135	261	1662
136	262	1652
137	262	1642
138	263	1633
139	264	1624
140	265	1615
141	265	1607
142	266	1598
143	267	1589
144	268	1581
145	268	1572
146	269	1563
147	270	1555
148	270	1547
149	271	1539
150	272	1531
151	273	1523
152	273	1515
153	274	1508
154	275	1501
155	276	1494
156	276	1487
157	277	1480
158	278	1473
159	279	1466
160	280	1459
161	280	1452
162	281	1445
163	282	1438
164	282	1431
165	283	1424
166	284	1417
167	284	1410
168	285	1404
169	286	1397
170	286	1391
171	287	1385
172	288	1378
173	289	1372
174	289	1366
175	290	1360
176	291	1354
177	292	1348
178	292	1343
179	293	1337
180	293	1330
181	294	1324
182	295	1318
183	295	1312
184	296	1307
185	297	1301
186	298	1296
187	298	1290
188	299	1285
189	300	1280
190	300	1274
191	301	1269
192	302	1263
193	302	1258
194	303	1254
195	304	1249
196	305	1244
197	306	1239
198	306	1235
199	307	1230
200	308	1224
201	308	1220
202	309	1215
203	310	1210
204	310	1205
205	311	1200
206	312	1196
207	312	1191
208	313	1187
209	314	1182
210	314	1177
211	315	1173
212	316	1169
213	317	1164
214	317	1160
215	318	1156
216	319	1152
217	320	1148
218	320	1144
219	321	1139
220	322	1135
221	322	1131
222	323	1127
223	324	1123
224	325	1119
225	325	1116
226	326	1112
227	327	1108
228	328	1104
229	328	1100
230	329	1096
231	330	1093
232	330	1089
233	331	1085
234	332	1082
235	333	1078
236	333	1074
237	334	1070
238	335	1067
239	335	1063
240	336	1060
241	337	1056
242	338	1053
243	338	1049
244	339	1046
245	340	1042
246	341	1039
247	341	1036
248	342	1033
249	343	1029
250	343	1026
251	344	1022
252	345	1019
253	345	1015
254	346	1011
255	347	1008
256	347	1005
257	348	1001
258	348	998
259	349	994
260	350	991
261	350	987
262	351	984
263	351	980
264	352	977
265	353	974
266	353	971
267	354	967
268	354	964
269	355	961
270	356	958
271	356	954
272	357	951
273	358	949
274	358	946
275	359	943
276	360	940
277	360	937
278	361	934
279	362	931
280	362	928
281	363	925
282	364	922
283	364	919
284	365	916
285	365	913
286	366	910
287	367	907
288	367	904
289	368	901
290	368	898
291	369	896
292	370	893
293	370	890
294	371	887
295	372	885
296	373	883
297	373	880
298	374	877
299	375	875
300	375	872
301	376	870
302	377	868
303	378	866
304	379	864
305	380	862
306	380	859
307	381	856
308	381	854
309	382	851
310	383	848
311	383	846
312	384	843
313	384	841
314	385	838
315	386	836
316	386	833
317	387	831
318	388	828
319	388	826
320	389	823
321	390	821
322	390	818
323	391	816
324	391	813
325	392	811
326	393	809
327	394	807
328	394	804
329	395	802
330	395	800
331	396	797
332	397	795
333	397	792
334	398	790
335	398	788
336	399	785
337	400	783
338	400	781
339	401	779
340	402	776
341	402	774
342	403	772
343	404	770
344	404	768
345	405	766
346	405	763
347	406	761
348	407	759
349	408	757
350	408	755
351	409	753
352	409	751
353	410	749
354	411	747
355	411	744
356	412	742
357	412	740
358	413	738
359	414	736
360	414	734
361	415	732
362	416	730
363	416	728
364	417	726
365	418	724
366	418	722
367	419	720
368	420	718
369	420	716
370	421	714
371	421	712
372	422	710
373	423	708
374	423	706
375	424	704
376	425	702
377	425	700
378	426	698
379	426	696
380	427	694
381	428	692
382	428	690
383	429	688
384	430	686
385	430	685
386	431	683
387	431	681
388	432	679
389	433	677
390	433	675
391	434	673
392	434	671
393	435	670
394	436	668
395	437	666
396	437	665
397	438	663
398	439	661
399	439	659
400	440	657
401	440	655
402	441	653
403	442	652
404	442	650
405	443	648
406	444	647
407	444	645
408	445	643
409	445	641
410	446	639
411	447	638
412	447	636
413	448	634
414	449	633
415	449	631
416	450	629
417	450	627
418	451	626
419	452	624
420	453	623
421	453	621
422	454	619
423	454	617
424	455	616
425	456	614
426	456	612
427	457	611
428	458	609
429	458	608
430	459	606
431	459	604
432	460	603
433	461	601
434	461	599
435	462	598
436	463	596
437	463	594
438	464	593
439	464	591
440	465	590
441	466	588
442	466	587
443	467	585
444	468	584
445	468	582
446	469	580
447	470	579
448	470	577
449	471	576
450	472	574
451	472	573
452	473	571
453	473	569
454	474	568
455	475	566
456	475	565
457	476	563
458	477	562
459	477	560
460	478	559
461	478	557
462	479	556
463	480	554
464	480	553
465	481	551
466	482	550
467	482	548
468	483	547
469	484	545
470	484	544
471	485	542
472	486	541
473	486	540
474	487	539
475	488	537
476	488	536
477	489	534
478	490	533
479	490	531
480	491	530
481	491	528
482	492	527
483	493	525
484	493	524
485	494	522
486	494	521
487	495	519
488	496	518
489	496	517
490	497	515
491	498	514
492	498	512
493	499	511
494	500	510
495	500	509
496	501	507
497	502	506
498	502	504
499	503	503
500	503	501
501	504	500
502	505	499
503	505	497
504	506	496
505	506	494
506	507	493
507	508	492
508	508	490
509	509	489
510	509	488
511	510	486
512	511	485
513	511	484
514	512	482
515	513	481
516	513	480
517	514	478
518	515	477
519	515	476
520	516	475
521	517	473
522	517	472
523	518	471
524	519	469
525	519	468
526	520	466
527	520	465
528	521	464
529	522	463
530	522	461
531	523	460
532	523	459
533	524	457
534	525	456
535	525	455
536	526	454
537	527	452
538	527	451
539	528	450
540	529	449
541	529	447
542	530	446
543	531	445
544	531	443
545	532	442
546	533	441
547	533	440
548	534	438
549	534	437
550	535	436
551	536	435
552	536	433
553	537	432
554	538	431
555	538	430
556	539	428
557	539	427
558	540	426
559	541	425
560	541	424
561	542	422
562	543	421
563	543	420
564	544	419
565	544	417
566	545	416
567	546	415
568	546	414
569	547	413
570	548	411
571	548	410
572	549	409
573	549	408
574	550	406
575	551	405
576	551	404
577	552	403
578	552	402
579	553	400
580	554	399
581	554	398
582	555	397
583	556	396
584	556	395
585	557	393
586	558	392
587	559	391
588	559	390
589	560	389
590	560	388
591	561	386
592	562	385
593	562	384
594	563	383
595	563	382
596	564	380
597	565	379
598	565	378
599	566	377
600	566	376
601	567	375
602	568	374
603	568	372
604	569	371
605	570	370
606	570	369
607	571	368
608	572	367
609	572	366
610	573	365
611	574	363
612	574	362
613	575	361
614	575	360
615	576	359
616	577	358
617	577	357
618	578	356
619	579	354
620	579	353
621	580	352
622	580	351
623	581	350
624	581	349
625	582	348
626	583	346
627	583	345
628	584	344
629	584	343
630	585	342
631	586	341
632	587	340
633	587	339
634	588	338
635	589	337
636	589	336
637	590	334
638	590	333
639	591	332
640	592	331
641	592	330
642	593	329
643	593	328
644	594	327
645	594	326
646	595	324
647	596	323
648	596	322
649	597	321
650	597	320
651	598	319
652	599	318
653	599	317
654	600	316
655	601	315
656	602	314
657	602	313
658	603	312
659	604	311
660	604	310
661	605	309
662	605	307
663	606	306
664	607	305
665	607	304
666	608	303
667	609	302
668	609	301
669	610	300
670	611	299
671	611	298
672	612	297
673	613	296
674	613	295
675	614	294
676	615	293
677	615	292
678	616	291
679	617	290
680	617	289
681	618	288
682	618	287
683	619	286
684	619	285
685	620	284
686	621	283
687	621	282
688	622	281
689	623	279
690	623	278
691	624	277
692	624	276
693	625	275
694	626	274
695	626	273
696	627	272
697	628	271
698	628	270
699	629	269
700	630	268
701	630	267
702	631	266
703	632	265
704	632	264
705	633	263
706	633	262
707	634	261
708	634	260
709	635	259
710	636	258
711	636	257
712	637	256
713	638	255
714	638	254
715	639	253
716	639	252
717	640	251
718	641	250
719	641	249
720	642	248
721	643	247
722	643	246
723	644	245
724	645	244
725	646	243
726	647	242
727	647	241
728	648	240
729	648	239
730	649	238
731	650	238
732	650	237
733	651	236
734	651	235
735	652	234
736	653	233
737	653	232
738	654	231
739	655	230
740	655	229
741	656	228
742	656	227
743	657	226
744	658	225
745	658	224
746	659	223
747	660	222
748	661	221
749	661	220
750	662	219
751	662	218
752	663	217
753	664	216
754	664	215
755	665	214
756	666	213
757	666	212
758	667	211
759	668	210
760	668	210
761	669	209
762	670	208
763	670	207
764	671	206
765	672	205
766	673	204
767	673	203
768	674	202
769	675	201
770	676	200
771	676	199
772	677	198
773	677	197
774	678	196
775	679	196
776	679	195
777	680	194
778	680	193
779	681	192
780	682	191
781	682	190
782	683	189
783	683	188
784	684	187
785	685	186
786	685	185
787	686	184
788	687	183
789	687	182
790	688	181
791	689	180
792	689	180
793	690	179
794	691	178
795	691	177
796	692	176
797	693	175
798	693	174
799	694	173
800	695	172
801	695	171
802	696	170
803	697	169
804	697	169
805	698	168
806	698	167
807	699	166
808	700	165
809	700	164
810	701	163
811	702	162
812	702	161
813	703	160
814	704	159
815	704	158
816	705	158
817	706	157
818	706	156
819	707	155
820	707	154
821	708	153
822	709	152
823	709	151
824	710	150
825	710	149
826	711	148
827	712	147
828	712	146
829	713	146
830	713	145
831	714	144
832	715	143
833	715	142
834	716	141
835	717	140
836	717	139
837	718	138
838	718	137
839	719	137
840	720	136
841	720	135
842	721	134
843	722	133
844	722	132
845	723	131
846	724	130
847	725	130
848	726	129
849	726	128
850	727	127
851	728	126
852	728	125
853	729	124
854	729	123
855	730	122
856	730	121
857	731	121
858	732	120
859	732	119
860	733	118
861	734	117
862	735	116
863	735	115
864	736	114
865	737	114
866	738	113
867	738	112
868	739	111
869	739	110
870	740	109
871	741	108
872	741	107
873	742	107
874	743	106
875	743	105
876	744	104
877	744	103
878	745	102
879	745	101
880	746	100
881	747	99
882	747	99
883	748	98
884	749	97
885	750	96
886	750	95
887	751	94
888	752	93
889	752	93
890	753	92
891	753	91
892	754	90
893	755	89
894	755	88
895	756	87
896	757	86
897	757	86
898	758	85
899	758	84
900	759	83
901	760	82
902	760	81
903	761	80
904	761	79
905	762	79
906	763	78
907	763	77
908	764	76
909	765	75
910	765	74
911	766	73
912	767	73
913	767	72
914	768	71
915	768	70
916	769	69
917	770	68
918	770	67
919	771	67
920	772	66
921	772	65
922	773	64
923	773	63
924	774	62
925	775	61
926	775	61
927	776	60
928	777	59
929	777	58
